Ward_name,Old_code,code,Population_2015,Children_aged_0_15_2015,Working_age_16_64_2015,Older_people_aged_65plus_2015,percent_All_Children_aged_0_15_2015,percent_All_Working_age_16_64_2015,percent_All_Older_people_aged_65plus_2015,Mean_Age_2013,Median_Age_2013,Area_Square_Kilometres,Population_density_persons_per_sq_km_2013,percent_BAME_2011,percent_Not_Born_in_UK_2011,percent_English_is_First_Language_of_no_one_in_household_2011,General_Fertility_Rate_2013,Male_life_expectancy_2009_13,Female_life_expectancy_2009_13 ,percent_children_in_reception_year_who_are_obese_2011_12_to_2013_14,percent_children_in_year_6_who_are_obese_2011_12_to_2013_14,Rate_of_All_Ambulance_Incidents_per_1000_population_2014,Rates_of_ambulance_call_outs_for_alcohol_related_illness_2014,Number_Killed_or_Seriously_Injured_on_the_roads_2014,In_employment_16_64_2011,Employment_rate_16_64_2011,Number_of_jobs_in_area_2013,Employment_per_head_of_resident_WA_population_2013,Rate_of_new_registrations_of_migrant_workers_2011_12,Median_House_Price_2014,Number_of_properties_sold_2014,Median_Household_income estimate_2012_13,Number_of_Household_spaces_2011,percent_detached_houses_2011,percent_semi_detached_houses_2011,percent_terraced_houses_2011,percent_Flat_maisonette_or_apartment_2011,percent_Households_Owned_2011,percent_Households_Social_Rented_2011,percent_Households_Private_Rented_2011,percent_dwellings_in_council_tax_bands_A_or_B_2015,percent_dwellings_in_council_tax_bands_C_D_or_E_2015,percent_dwellings_in_council_tax_bands_F_G_or_H_2015,Claimant_rate_of_key_out_of_work_benefits_working_age_client_group_2014,Claimant_Rate_of_Housing_Benefit_2015,Claimant_Rate_of_Employment_Support_Allowance_2014,Rate_of_JobSeekers_Allowance_JSA_Claimants_2015,percent_dependent_children_0_18_in_out_of_work_households_2014,percent_of_households_with_no_adults_in_employment_with_dependent_children_2011,percent_of_lone_parents_not_in_employment_2011,ID2010_Rank_of_average_score_within_London_2010,ID2010_percent_of_LSOAs_in_worst_50percent_nationally_2010,Average_GCSE capped_point_scores_2014,Unauthorised_Absence_in_All_Schools_percent_2013,percent_with_no_qualifications_2011,percent_with_Level_4_qualifications_and_above_2011,A_Level_Average_Point_Score_Per_Student_2013_14,A_Level_Average_Point_Score_Per_Entry_2013_14,Crime_rate_2014_15,Violence_against_the_person_rate_2014_15,Deliberate_Fires_per_1000_population_2014,percent_area_that_is_open_space_2014,Cars_per_household_2011,Average_Public_Transport_Accessibility_score_2014,percent_travel_by_bicycle_to_work_2011,Turnout_at_Mayoral_election_2012
City of London,00AA,E09000001,8100,650,6250,1250,7.962056593,76.88678629,15.15115712,41.30388748,39,3.15148,2538.062371,21.4,36.7,11.9,38.37837838,84.31431704,88.63235718,11.11111111,23.21428571,139.9625422,19.34330299,57,4555,79.63286713,392400,63.29032258,138.8888889,765000,309,63620,5530,0.4,0.2,1.4,98,42.3,16.5,35.9,4.647676162,61.91904048,33.43328336,5.1,5.272724886,1.93470284,1.319261214,9.5,0.86659065,24.17582418,551,20,354.5,0.7,6.7,68.4,662.9,210.5,656.3811405,85.30864198,0.392259414,18.62901421,0.385860889,7.862302333,5.308615968,48.5236517
Barking and Dagenham   Abbey,00ABFX,E05000026,14750,3850,10150,750,25.95834181,69.01418007,5.027478119,29.5,29,1.3,10500,71.9,57.3,25.7,97.64705882,80.16062206,83.93105213,13.34269663,24.71655329,157.3329324,1.342990795,2,5444,60.34807671,9500,0.989583333,108.6956522,173000,151,33920,4753,3.9,7.2,22.6,66.3,32.7,26.7,38.6,45.23809524,54.76190476,0,15.1,16.14512028,4.193613581,4.015466984,22.07792208,8.748906387,55.31062124,166,85.71428571,317.6577586,1.356022267,16.4,34.5,682.5702381,208.9369048,138.1392304,42.23728814,1.353078253,21.90860132,0.54768154,5.989364918,0.801603206,25.68894145
Barking and Dagenham   Alibon,00ABFY,E05000027,10600,2700,6800,1050,25.70133182,64.27694342,10.02172476,33.8,33,1.4,7428.6,29.9,24.7,7.9,83.26530612,77.19823105,80.61463443,9.966216216,25.99531616,139.8150743,0.864631181,1,4143,63.10738766,1000,0.149253731,31.14754098,215000,119,32470,4045,3.8,18.2,63.8,14.2,45.1,36.8,15.9,9.661835749,90.33816425,0,20.7,17.68501449,7.252812315,3.690793521,24.71428571,12.44019139,60.99518459,124,100,307.4457317,1.489165819,31.2,16.7,627.9275,201.59875,73.58976806,27.26415094,0.653777902,20.62184945,0.815159909,3.145890095,1.020408163,20.34792528
Barking and Dagenham   Becontree,00ABFZ,E05000028,12700,3200,8350,1100,25.37042875,65.91267339,8.716897856,33,32,1.3,9269.2,41.2,30.1,10.5,101.0526316,78.95444815,79.33514751,12.33082707,29.25851703,130.1451344,0.612745098,3,4598,61.19244078,1300,0.163522013,38.55421687,210000,191,33000,4378,4.2,24.7,52,19.1,46.7,29.4,20.1,13.43570058,86.56429942,0,17.8,16.3798279,6.524390244,3.593188564,22.02380952,10.73182137,51.51057402,185,100,295.4513812,1.465375749,28,20.6,631.9579439,207.9009346,79.90414807,27.63779528,1.189626457,1.885447698,0.870236147,2.8717665,1.647411211,22.53821097
Barking and Dagenham   Chadwell Heath,00ABGA,E05000029,10400,2550,6400,1450,24.32692308,61.5,14.17307692,36.2,34,3.4,2985.3,37.9,24.8,6.5,73.63636364,79.17945936,82.19418893,12.80991736,24.58563536,139.1028109,0.78057242,6,3819,63.63939343,1900,0.304,26.27118644,240500,108,33920,4062,3.8,29.6,32.2,34.5,54,32,12.4,33.82716049,65.92592593,0.24691358,19.4,15.11750726,5.864637819,3.71422329,24.33333333,10.14713343,55.23978686,96,100,293.4378378,1.604042289,29.1,19.5,613.9443038,210.456962,76.12524462,24.61538462,1.251443974,55.97450742,0.918061898,2.260909461,1.174668029,25.31881358
Barking and Dagenham   Eastbrook,00ABGB,E05000030,10750,2150,7050,1550,20.09658247,65.66679049,14.23662704,37.7,36,3.5,3028.6,24.8,19,4.5,73.18181818,77.10791119,81.12408127,12.55605381,21.5625,147.794994,0.705946239,2,4592,68.22166097,4000,0.575539568,18.43971631,240000,129,37400,3977,3.2,32.6,45.5,18.4,67.6,20,11.2,14.77832512,84.72906404,0.492610837,14.7,12.07086133,4.56686171,3.993154592,20.36363636,6.663236429,48.69791667,288,100,305.9482759,1.20807783,29.9,18.5,670.1041237,206.8360825,66.66666667,24.46511628,0.825158155,50.43417889,1.060457937,2.30571916,1.55783184,24.1214693
Barking and Dagenham   Eastbury,00ABGC,E05000031,11900,3000,7750,1150,25.24997899,65.17099403,9.579026973,33.4,32,1.4,8357.1,41.7,32.2,11.9,87.63636364,78.89309339,84.94536287,11.52,26.51356994,113.0377343,0.442380004,5,4546,61.5405442,1200,0.157894737,48.92086331,220000,105,32870,4321,5,21,52.5,21.5,44,37.4,17.3,18.85057471,81.14942529,0,18.1,16.935769,5.7179987,3.628582062,22.32876712,11.11891386,52.45901639,135,100,315.6670659,1.445579848,28.9,20,680.8167939,212.1091603,82.15682939,24.87394958,0.577986954,17.10893532,0.782771536,2.731589089,1.515151515,21.51487593
Barking and Dagenham   Gascoigne,00ABGD,E05000032,15850,5100,9900,850,32.04165352,62.60018933,5.358157147,29,29,1.1,12772.7,60.4,48.2,18.7,92.85714286,75.51197868,81.0656022,16.21966794,28.98832685,136.0570891,0.796271121,2,4382,56.36737844,2900,0.329545455,69.56521739,200000,87,29480,4711,2.2,6.8,19.5,71.4,23.7,54,18.3,59.44798301,40.55201699,0,19.5,20.13371328,5.318017443,4.141501294,22.85714286,14.74703983,57.17539863,37,100,300.6715328,1.317598533,25.5,25.2,662.1421687,210.326506,75.82736872,20.31545741,0.862609787,20.78459309,0.541011841,3.232882536,1.353485224,25.59209636
Barking and Dagenham   Goresbrook,00ABGE,E05000033,11450,3000,7250,1250,25.94142259,63.20606695,10.85251046,34.1,33,1.3,8692.3,33.3,26.8,7.7,86.15384615,77.45969394,82.83257209,16.19190405,25.16411379,136.628405,0.718218817,1,4544,63.60582307,1300,0.180555556,27.39726027,205000,109,33250,4296,4.8,17.4,62.5,15.3,43.1,37.3,15.8,11.23853211,88.76146789,0,18.9,17.74193548,6.223205642,3.541347626,23.8961039,11.11111111,57.33944954,142,100,302.2272727,1.155555556,30,18.8,693.7294872,217.3384615,74.83711921,25.76419214,0.942264862,14.07856348,0.836768538,2.455199663,1.740644038,20.50673001
Barking and Dagenham   Heath,00ABGF,E05000034,11150,2900,6950,1300,26.16805668,62.29037754,11.54156578,34.4,32,2,5475,32.3,24.1,6.2,88.4,76.50436584,80.11135496,15.03378378,26.01809955,188.0021425,0.784412955,3,4043,61.42509875,3100,0.455882353,30,215000,105,31340,4418,2.9,18.9,41.9,36.4,41.6,45.3,11.3,36.24161074,63.75838926,0,21.3,19.56200787,6.691882456,3.897661403,23.42465753,11.74426685,55.41490858,91,100,297.3286885,1.120479416,32.1,17.6,656.7,207.6294118,83.65296804,24.21524664,1.963935012,36.32988948,0.73917072,2.652043746,1.601164483,22.24054983
