WD11CD,WD11NM,eth_div_score,pct_wk_age,pct_not_born_uk,pct_esl_household,emp_rate,new_migrant_workers_rate,med_house_income,avg_gcse,pct_level4
E09000001,City Of London,2.69,76.88678629,36.7,11.9,79.63286713,138.8888889,63620,354.5,68.4
E05000026,Abbey,8.36,69.01418007,57.3,25.7,60.34807671,108.6956522,33920,317.6577586,34.5
E05000027,Alibon,2.46,64.27694342,24.7,7.9,63.10738766,31.14754098,32470,307.4457317,16.7
E05000028,Becontree,3.47,65.91267339,30.1,10.5,61.19244078,38.55421687,33000,295.4513812,20.6
E05000029,Chadwell Heath,3.08,61.5,24.8,6.5,63.63939343,26.27118644,33920,293.4378378,19.5
E05000030,Eastbrook,2.03,65.66679049,19,4.5,68.22166097,18.43971631,37400,305.9482759,18.5
E05000031,Eastbury,3.74,65.17099403,32.2,11.9,61.5405442,48.92086331,32870,315.6670659,20
E05000032,Gascoigne,6.10,62.60018933,48.2,18.7,56.36737844,69.56521739,29480,300.6715328,25.2
E05000033,Goresbrook,2.72,63.20606695,26.8,7.7,63.60582307,27.39726027,33250,302.2272727,18.8
E05000034,Heath,2.50,62.29037754,24.1,6.2,61.42509875,30,31340,297.3286885,17.6
E05000035,Longbridge,5.44,66.04201681,33.3,11.9,65.20986009,39.84962406,40570,337.7835227,25
E05000036,Mayesbrook,2.57,62.07977208,25,8.2,61.89512992,33.60655738,31530,305.4440299,16.2
E05000037,Parsloes,2.48,63.68426285,23.3,6.6,61.45478162,31.85840708,31860,312.2058394,16
E05000038,River,3.20,63.60447637,30.9,9.6,64.19753086,31.72413793,33490,300.1892857,19.5
E05000039,Thames,4.46,62.54744833,37.2,11.2,60.5309997,38.21138211,32580,306.9984733,24.4
E05000040,Valence,2.54,63.19078305,23.3,7.1,63.09872923,31.25,33200,302.9649254,17.8
E05000041,Village,2.65,64.12649511,26,7.5,61.7107943,27.13178295,31960,301.5692308,17.9
E05000042,Whalebone,3.80,64.51150712,29.2,8.4,67.47040772,32.84671533,37180,310.8455285,22.4
E05000043,Brunswick Park,3.63,64.66259768,30.9,10.2,71.38967136,15.04854369,39800,339.3390558,34.4
E05000044,Burnt Oak,6.73,66.54104706,47.1,19.3,63.66879615,52.21238938,29400,313.5469751,24.7
E05000045,Childs Hill,5.08,67.89238945,51.2,23,67.90429645,83.67346939,38960,335.65,43.7
E05000046,Colindale,8.17,69.69036525,52.7,23.2,61.91720766,55.28455285,30170,307.730814,30.8
E05000047,Coppetts,4.08,69.40348154,36.1,13.6,71.4699793,28.57142857,38090,343.4721212,40.6
E05000048,East Barnet,2.51,64.61412631,23.4,7.2,71.53933434,11.87214612,39870,337.4255556,36.5
E05000049,East Finchley,3.26,67.12125704,34.4,10.4,74.85997613,29.66507177,41160,350.0976378,49.6
E05000050,Edgware,3.79,61.5782004,37.4,12.1,68.96912114,35.07109005,38410,326.7208333,36
E05000051,Finchley Church End,3.68,64.34270064,40.9,14.5,72.56828454,49.48979592,45030,360.7409091,48.6
E05000052,Garden Suburb,2.70,61.9348365,36,10.9,73.05062915,35.60209424,53090,368.5094118,57.3
E05000053,Golders Green,4.07,64.29201411,45.8,17.5,66.69287212,66.05504587,40800,342.0639706,37.4
E05000054,Hale,4.14,63.1227051,35.7,11.7,70.67533406,35.09615385,38590,325.5957143,36.5
E05000055,Hendon,4.49,66.4661966,48.2,20.3,66.73833413,77.83018868,38530,352.6848684,41.3
E05000056,High Barnet,2.06,64.31156087,22.1,6.3,74.54545455,13.10679612,43940,353.3846715,44.3
E05000057,Mill Hill,3.71,64.10923277,34.4,10.2,70.47127507,24.88888889,41920,352.8417722,41.6
E05000058,Oakleigh,2.91,63.41771391,28.5,8.6,73.43535413,15.23809524,41670,346.8614865,40.7
E05000059,Totteridge,3.60,62.70865396,37.6,13.7,71.6048092,24.1025641,46150,368.8777328,47
E05000060,Underhill,2.57,63.69051061,25.4,6.9,68.3368128,10.13824885,37040,320.3023188,31.8
E05000061,West Finchley,4.60,68.24007323,44.7,19,74.23456149,40.38461538,42050,368.8980392,49.5
E05000062,West Hendon,6.47,68.22177147,53.6,24.7,67.23173278,80.78817734,35090,340.3444444,34.4
E05000063,Woodhouse,4.37,67.64532863,41,16.2,72.01210287,28.5106383,38220,356.6886076,41.3
E05000064,Barnehurst,1.33,62.04978314,8,1.3,75.78722103,5.925925926,38200,326.2982456,20.1
E05000065,Belvedere,2.23,63.9081386,20.4,5.1,70.42600026,18.54304636,33510,306.1392638,21.9
E05000066,Blackfen and Lamorbey,1.26,62.59570495,7.1,1.2,77.270003,2.857142857,40780,332.8385185,19.3
E05000067,Blendon and Penhill,1.32,62.57155838,7.8,1.7,78.18315018,3.03030303,40340,340.1451852,19.6
E05000068,Brampton,1.43,60.10939268,10.4,1.6,76.63393679,4.580152672,40790,325.3616822,20.7
E05000069,Christchurch,1.49,63.33392008,11.5,2.3,77.02683312,7.194244604,40190,342.8740157,24.9
E05000070,Colyers,1.59,62.73700843,12.3,2,70.24687855,9.219858156,34450,298.2969231,18.1
E05000071,Crayford,1.40,64.57583117,10,1.9,73.16936836,6.015037594,34900,301.3769784,18.6
E05000072,Cray Meadows,1.40,61.45236626,9.9,2.3,71.38532507,3.571428571,35530,324.9230216,22.2
E05000073,Danson Park,1.58,63.75625284,13.2,3.1,74.97844208,4.929577465,38580,337.0016667,21.6
