,category,id,latitude,longitude,gen_cat_African,gen_cat_American,gen_cat_British_Irish,gen_cat_Chinese,gen_cat_European_Other,gen_cat_French,gen_cat_Indian,gen_cat_Italian,gen_cat_Japanese,gen_cat_Korean,gen_cat_Latin_American,gen_cat_Mediterranean,gen_cat_Mexican_Caribbean,gen_cat_Middle_Eastern,gen_cat_Other,gen_cat_Pakistani,gen_cat_Southeast_Asian
0,british,70Q-Ll18zb4aglXXbUG7lw,51.50405773515,-0.192783395566043,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,british,IBV7BsXnv2gX68nWUARhjw,51.512935,-0.139414,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,british,hOLFwKg4-0FsCleJ4yoCXw,51.516178,-0.08094,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,british,bJiVADMSTEKj0MjqiLrOPA,51.515378341447,-0.15823586449841,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,british,MriFIF7b5TGXmBmrzMIS5w,51.5152346,-0.1217126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,british,b8u_D0Qlp0-nqSC6O2fMNw,51.485833,-0.161966,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,british,YNduANMPzIVE8CzBH7YjEQ,51.4940143171,-0.13222007974201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,british,3R0Klq1B1ESNTwqPfcsY-w,51.537442542029,-0.10682789450616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,british,e5jPAqpCcIAsTtasUN5h2g,51.507617,-0.141012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,british,rKwkCvsSfp8z7w1CmNnMMQ,51.505604,-0.099671,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,british,E32UWQyHYlSrBbRbtxPzKQ,51.5089417,-0.1937266,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,british,-Ve2_hHfPczRX159xt0BCg,51.5143449,-0.107315,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
