,WD11NM,WD11CD,gen_cat_African,gen_cat_American,gen_cat_British_Irish,gen_cat_Chinese,gen_cat_European_Other,gen_cat_French,gen_cat_Indian,gen_cat_Italian,gen_cat_Japanese,gen_cat_Korean,gen_cat_Latin_American,gen_cat_Mediterranean,gen_cat_Mexican_Caribbean,gen_cat_Middle_Eastern,gen_cat_Other,gen_cat_Pakistani,gen_cat_Southeast_Asian,total,div_score
0,Abbey,E05000026,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,2,0,8,5.333333333333333
1,Abbey,E05000455,0,0,0,3,0,0,0,2,2,0,0,1,0,3,0,0,3,14,5.444444444444445
2,Abbey Road,E05000630,1,0,1,2,0,1,0,2,0,0,0,1,0,1,0,1,1,11,8.066666666666666
3,Abingdon,E05000382,0,1,3,0,1,1,2,6,1,0,0,2,0,3,2,0,3,25,7.911392405063291
4,Acton Central,E05000170,0,0,0,1,0,0,4,1,2,0,0,0,0,1,0,0,0,9,3.5217391304347827
5,Addiscombe,E05000146,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,4,2.6666666666666665
6,Addison,E05000250,0,0,1,1,1,0,1,4,0,0,0,1,0,2,0,0,1,12,5.538461538461538
7,Aldborough,E05000495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2.0
8,Alexandra,E05000266,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1.7999999999999998
9,Alperton,E05000085,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1.7999999999999998
10,Ashburton,E05000147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0
11,Askew,E05000251,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,4.0
12,Avonmore and Brook Green,E05000252,0,0,2,1,1,0,3,2,1,0,1,2,0,4,0,1,3,21,8.647058823529413
13,Balham,E05000610,1,1,4,1,1,1,4,3,0,0,0,2,0,0,0,0,1,19,7.078431372549019
14,Barkingside,E05000496,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1.7999999999999998
15,Barnehurst,E05000064,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2.0
16,Barnes,E05000516,0,0,4,1,0,0,0,2,0,0,1,1,0,0,1,3,1,14,5.76470588235294
17,Barnhill,E05000086,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,1.7999999999999998
18,Barnhill,E05000324,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1.7999999999999998
19,Barnsbury,E05000366,1,0,6,1,1,1,5,4,2,0,0,2,3,0,1,1,3,31,8.816513761467892
20,Bayswater,E05000631,1,1,5,1,3,3,2,6,1,0,0,3,1,2,1,0,1,31,9.330097087378638
21,Beckton,E05000475,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,2.6666666666666665
22,Becontree,E05000028,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3.0
23,Beddington North,E05000555,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,4.0
24,Beddington South,E05000556,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2.0
25,Bedfont,E05000346,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2.0
26,Bedford,E05000611,0,2,0,0,1,0,2,4,1,0,0,0,0,0,1,1,1,13,5.82758620689655
27,Bellingham,E05000437,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3.0
28,Belmont,E05000285,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2.0
29,Belsize,E05000128,0,0,3,0,1,0,2,4,0,0,1,1,0,0,1,1,0,14,5.76470588235294
30,Belvedere,E05000065,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2.0
31,Bensham Manor,E05000148,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,4,2.6666666666666665
32,Bethnal Green North,E05000573,0,0,5,1,0,2,1,2,2,1,2,5,0,0,0,1,0,22,6.914285714285715
33,Bethnal Green South,E05000574,0,0,3,1,1,0,0,2,1,1,0,2,0,0,0,1,2,14,7.538461538461538
34,Bishop's,E05000416,0,3,21,9,3,3,5,15,10,2,2,5,3,0,1,3,7,92,8.464
